ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,id
4489573,11 to 25,"",4916
4027013,6 to 10,"",3489
16000001,26 to 50,COMPUTER_SOFTWARE,2813
814822,1001 to 10000,HOSPITAL_HEALTH_CARE,727
16000001,26 to 50,"",2166
16000001,11 to 25,COMPUTER_SOFTWARE,372
16000001,201 to 1000,EDUCATION_MANAGEMENT,1902
6278610,6 to 10,"",3608
16000001,6 to 10,"",4845
1207682,11 to 25,"",3903
3103028,201 to 1000,Healthcare,3557
531482,2 to 5,HOSPITALITY,4436
16000001,6 to 10,MARKETING_AND_ADVERTISING,3490
16000001,26 to 50,"",1216
6892319,6 to 10,"",4919
16000001,2 to 5,"",995
16000001,26 to 50,Other services,548
16000001,6 to 10,"",2691
4539167,2 to 5,"",699
16000001,2 to 5,"",616
16000001,2 to 5,"",3813
1425350,201 to 1000,FOOD_BEVERAGES,2508
16000001,11 to 25,"",730
3370133,6 to 10,"Health, Medical, & Wellness",949
3093631,6 to 10,COMPUTER_SOFTWARE,203
16000001,11 to 25,"",4209
16000001,6 to 10,CONSUMER_ELECTRONICS,3828
11074,51 to 200,E_LEARNING,969
3904857,11 to 25,"",3413
16000001,6 to 10,"",1983
16000001,11 to 25,"",1196
3308185,11 to 25,"",469
492842,6 to 10,COMPUTER_SOFTWARE,1640
16000001,6 to 10,"",4663
2314920,"","",582
16000001,2 to 5,"",2132
4604853,2 to 5,"",1280
8779361,6 to 10,"",4202
211580,1001 to 10000,NON_PROFIT_ORGANIZATION_MANAGEMENT,3530
16000001,2 to 5,"",483
204242,6 to 10,COMPUTER_SOFTWARE,3342
24899,1001 to 10000,HIGHER_EDUCATION,2739
16000001,6 to 10,"",3350
4993949,6 to 10,MARKETING_AND_ADVERTISING,4489
706470,1001 to 10000,FINANCIAL_SERVICES,4292
16000001,6 to 10,"",790
16000001,6 to 10,"",2623
8679970,2 to 5,"",1984
2124,51 to 200,Technology - Software,2501
55741,11 to 25,"",2858
16000001,6 to 10,INFORMATION_TECHNOLOGY_AND_SERVICES,2416
7083638,51 to 200,"",4465
8197,201 to 1000,Finance & Insurance,2073
16000001,6 to 10,"",4427
16000001,11 to 25,"",5151
16000001,26 to 50,ACCOUNTING,4379
16000001,2 to 5,"",3177
16000001,2 to 5,"",1289
16000001,"","",2101
16000001,2 to 5,"",4426
1217317,11 to 25,"",2064
16000001,6 to 10,"",2811
3225686,26 to 50,Technology - Software,1396
16000001,51 to 200,"",1622
16000001,6 to 10,"",1368
5843389,2 to 5,"",2864
50,51 to 200,Mktg / PR / Web / SEO,3927
16000001,6 to 10,"",557
16000001,1001 to 10000,TELECOMMUNICATIONS,694
16000001,201 to 1000,"",4599
60396,1001 to 10000,"",968
16000001,"","",1787
,51 to 200,"",1697
196060,1001 to 10000,Finance and Insurance,2034
16000001,6 to 10,"",1459
16000001,2 to 5,"",3166
6494105,26 to 50,"",3257
16000001,6 to 10,"",3704
16000001,6 to 10,"",1715
16000001,2 to 5,"",1056
16000001,51 to 200,"",1817
16000001,6 to 10,"",3742
16000001,"","",3683
16000001,2 to 5,PRINTING,2835
16000001,"","",4870
16000001,"","",1333
16000001,11 to 25,"",4912
354,2 to 5,Marketing Services,3817
