WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-06-01 00:00:00.000,278,0,34,0,2,0,2,0,616
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,3059
2019-04-29 00:00:00.000,210,1,17,11,3,1,4,1,2813
2020-02-24 00:00:00.000,1,1,1,0,1,1,1,0,5076
2020-02-17 00:00:00.000,9,9,7,0,1,1,1,0,3983
2019-01-21 00:00:00.000,841,409,0,0,4,4,0,0,3813
2020-06-01 00:00:00.000,0,0,0,0,0,0,0,0,4547
2020-05-04 00:00:00.000,287,92,6,0,9,4,1,0,1436
2019-12-30 00:00:00.000,1,0,0,0,1,0,0,0,2338
2019-09-02 00:00:00.000,0,0,0,0,0,0,0,0,2542
2020-07-27 00:00:00.000,46,0,2,0,2,0,2,0,616
2019-12-16 00:00:00.000,8,32,15,2,2,3,2,1,89
2019-12-02 00:00:00.000,53,180,9,0,3,4,2,0,51
2020-06-01 00:00:00.000,4,0,0,0,1,0,0,0,1844
2019-05-06 00:00:00.000,0,0,0,0,0,0,0,0,2101
2020-02-03 00:00:00.000,0,0,0,0,0,0,0,0,4179
2020-07-20 00:00:00.000,0,0,0,0,0,0,0,0,2844
2019-09-02 00:00:00.000,0,0,0,0,0,0,0,0,5041
2019-07-08 00:00:00.000,2,0,0,0,1,0,0,0,986
2019-12-30 00:00:00.000,21,0,3,3,4,0,2,2,131
2019-03-11 00:00:00.000,0,0,0,0,0,0,0,0,4332
2020-02-10 00:00:00.000,35,3,1,0,3,1,1,0,4177
2020-05-18 00:00:00.000,0,0,0,0,0,0,0,0,3834
2019-07-01 00:00:00.000,21,1,1,0,1,1,1,0,122
2020-02-10 00:00:00.000,52,16,0,1,4,1,0,1,46
2019-10-28 00:00:00.000,37,4,10,0,5,2,1,0,107
2020-06-22 00:00:00.000,51,0,0,2,4,0,0,1,4254
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,3148
2020-06-08 00:00:00.000,329,47,3,0,12,5,2,0,1436
2020-04-20 00:00:00.000,48,0,0,0,3,0,0,0,548
2019-04-29 00:00:00.000,2,0,0,0,1,0,0,0,755
2019-02-04 00:00:00.000,19,0,0,0,1,0,0,0,1993
2020-01-27 00:00:00.000,0,0,0,0,0,0,0,0,4844
2020-05-11 00:00:00.000,0,0,0,0,0,0,0,0,1108
2019-06-03 00:00:00.000,1,0,0,0,1,0,0,0,1799
2019-04-08 00:00:00.000,0,0,0,0,0,0,0,0,3767
2020-05-18 00:00:00.000,1,1,1,0,1,1,1,0,3734
2019-09-02 00:00:00.000,136,44,245,0,7,7,5,0,174
2020-06-15 00:00:00.000,65,0,11,0,4,0,1,0,2911
2019-08-26 00:00:00.000,0,0,0,0,0,0,0,0,137
2020-01-13 00:00:00.000,0,0,0,0,0,0,0,0,2255
2019-03-04 00:00:00.000,0,0,0,0,0,0,0,0,3636
2019-08-19 00:00:00.000,1,0,13,0,1,0,4,0,169
2020-03-09 00:00:00.000,0,0,0,0,0,0,0,0,2234
2019-09-09 00:00:00.000,5,0,12,11,3,0,2,1,123
2019-02-25 00:00:00.000,1,0,0,0,1,0,0,0,1139
2019-06-10 00:00:00.000,1,0,0,0,1,0,0,0,3037
2019-09-30 00:00:00.000,1,0,0,0,1,0,0,0,3498
2019-10-28 00:00:00.000,19,0,0,0,1,0,0,0,1700
2019-04-01 00:00:00.000,0,0,0,0,0,0,0,0,2835
2020-01-20 00:00:00.000,1,0,0,0,1,0,0,0,3971
2019-02-11 00:00:00.000,0,0,0,0,0,0,0,0,2101
2019-10-14 00:00:00.000,0,0,0,0,0,0,0,0,3840
2020-04-27 00:00:00.000,7,198,39,0,2,1,2,0,2166
2019-09-16 00:00:00.000,52,24,58,0,4,2,4,0,145
2020-01-20 00:00:00.000,1,0,0,0,1,0,0,0,3959
2019-07-22 00:00:00.000,28,0,7,0,2,0,1,0,1356
2020-03-30 00:00:00.000,3,0,0,0,1,0,0,0,138
2019-09-16 00:00:00.000,0,0,0,0,0,0,0,0,90
2020-07-27 00:00:00.000,0,0,0,0,0,0,0,0,2364
2020-06-08 00:00:00.000,2,0,0,8,2,0,0,3,300
2019-11-04 00:00:00.000,0,0,0,0,0,0,0,0,3329
2019-01-28 00:00:00.000,1,0,0,0,1,0,0,0,3607
2019-12-02 00:00:00.000,0,0,0,0,0,0,0,0,4462
2019-01-14 00:00:00.000,716,145,317,21,14,10,10,3,118
2019-11-04 00:00:00.000,0,0,0,0,0,0,0,0,5195
2019-01-21 00:00:00.000,1370,1,0,1,26,1,0,1,19
