IS_CUSTOMER_TS,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,ALEXA_RANK_final,Employee_Range_Final,Industry_final
N,151.25,19,52,7,2.75,1.75,2,1,2610402,2 to 5,RENEWABLES_ENVIRONMENT
Y,215.75757575757575,27.46969696969697,76.43939393939394,0.6363636363636364,5.121212121212121,3.303030303030303,3.909090909090909,0.24242424242424243,2610402,2 to 5,RENEWABLES_ENVIRONMENT
N,54.214285714285715,1,6.642857142857143,3.857142857142857,2.0714285714285716,0.5714285714285714,0.7857142857142857,0.7857142857142857,5516811,2 to 5,SaaS
Y,71.37288135593221,13.288135593220339,11.813559322033898,3.2711864406779663,1.8983050847457628,0.9322033898305084,1.0677966101694916,0.4067796610169492,5516811,2 to 5,SaaS
N,677.6774193548387,105.35483870967742,349.38709677419354,11.290322580645162,16.129032258064516,10.32258064516129,10.64516129032258,2.032258064516129,7826,26 to 50,E_LEARNING
Y,522.3023255813954,115.18604651162791,185.25581395348837,3.441860465116279,16.906976744186046,10.86046511627907,9.465116279069768,1.0465116279069768,7826,26 to 50,E_LEARNING
N,740.3584905660377,1.320754716981132,11.471698113207546,0,7.60377358490566,0.5471698113207547,2.358490566037736,0,16000001,2 to 5,
Y,794.2105263157895,0.3684210526315789,13.631578947368421,0,9.105263157894736,0.3157894736842105,3.526315789473684,0,16000001,2 to 5,
N,33,5.566666666666666,6.533333333333333,1.2666666666666666,4.233333333333333,1.2333333333333334,1.2333333333333334,0.4,16000001,6 to 10,
Y,99.57142857142857,30.547619047619047,79.88095238095238,0.7619047619047619,6.142857142857143,3.3095238095238093,6.166666666666667,0.35714285714285715,16000001,6 to 10,
N,3,0,0,0,1,0,0,0,16000001,6 to 10,INSURANCE
Y,229.77777777777777,0,7.777777777777778,0,4.611111111111111,0,0.8333333333333334,0,16000001,6 to 10,INSURANCE
N,48.19565217391305,14.173913043478262,8.630434782608695,0,2.1956521739130435,1.0869565217391304,1.4782608695652173,0,16000001,26 to 50,"Computers, Networking, Software, Technol"
Y,39.4,10.85,32.55,0,2.95,2,2.65,0,16000001,26 to 50,"Computers, Networking, Software, Technol"
N,62.083333333333336,43.083333333333336,148,0.08333333333333333,4.25,3.5,6.833333333333333,0.08333333333333333,3317099,11 to 25,LEISURE_TRAVEL_TOURISM
